ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Industry Sector,Industry Sector,ID Industry Sub-Sector,Industry Sub-Sector,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131070","Human resources workers",2016,"2016","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",7721,2157.2476424964166,62685.480507706256,15274.523053563944,68,"human-resources-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439XXX","Miscellaneous office & administrative support workers, including desktop publishers",2016,"2016","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1980,1092.4571126366397,48290.945959595956,22083.643502994957,19,"miscellaneous-office-administrative-support-workers-including-desktop-publishers","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151121","Computer systems analysts (Legacy)",2016,"2016","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1115,819.8049325908534,63499.73452914798,15963.728639463627,12,"computer-systems-analysts-legacy","Restaurants & Food Services","722Z","restaurants-food-services"
"310000-390000","Service Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","37201X","Janitors & building cleaners",2016,"2016","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",98628,7707.748199642818,14234.637202417163,1633.4720613344607,814,"janitors-building-cleaners","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537064","Packers & packagers, hand",2016,"2016","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",7626,2143.935764884076,17966.049567269867,3445.3573678817606,67,"packers-packagers-hand","Restaurants & Food Services","722Z","restaurants-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439061","Office clerks, general",2016,"2016","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",12265,2718.881101730636,17372.715368936,4312.846519815387,110,"office-clerks-general","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113071","Transportation, storage, & distribution managers",2016,"2016","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1082,807.5822650391877,42428.58040665434,17729.062832491683,10,"transportation-storage-distribution-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"310000-390000","Service Occupations","310000","Healthcare Support Occupations","310000","Healthcare Support Occupations","311010","Nursing, psychiatric, & home health aides",2016,"2016","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",413,498.94097070660285,18733.573849878936,15604.030478376679,5,"nursing-psychiatric-home-health-aides","Restaurants & Food Services","722Z","restaurants-food-services"
"310000-390000","Service Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","370000","Building & Grounds Cleaning & Maintenance Occupations","373010","Grounds maintenance workers",2016,"2016","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1190,846.9279431877528,17518.73781512605,9729.069843648052,12,"grounds-maintenance-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","250000","Education, Training, & Library Occupations","259041","Teacher assistants",2016,"2016","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",638,620.1320039649063,26686.079937304075,17342.14292627794,6,"teacher-assistants","Restaurants & Food Services","722Z","restaurants-food-services"
